"LGD2014","LGD2014NAME","DZ2021","DZ2021_name","SDZ2021","SDZ2021_name"
"N09000003","Belfast","N20000854","Castle_Q2","N21000192","Castle_Q"
"N09000003","Belfast","N20001081","Botanic_B1","N21000252","Botanic_B"
"N09000003","Belfast","N20001082","Botanic_B2","N21000252","Botanic_B"
"N09000003","Belfast","N20000775","Oldpark_R6","N21000175","Oldpark_R"
"N09000003","Belfast","N20000746","Oldpark_N1","N21000172","Oldpark_N"
"N09000003","Belfast","N20000759","Oldpark_R2","N21000175","Oldpark_R"
"N09000003","Belfast","N20000764","Oldpark_R3","N21000175","Oldpark_R"
"N09000003","Belfast","N20000774","Oldpark_U2","N21000178","Oldpark_U"
"N09000003","Belfast","N20000772","Oldpark_U1","N21000178","Oldpark_U"
"N09000003","Belfast","N20000745","Oldpark_G5","N21000167","Oldpark_G"
"N09000003","Belfast","N20000747","Oldpark_L1","N21000171","Oldpark_L"
"N09000003","Belfast","N20000754","Oldpark_R1","N21000175","Oldpark_R"
"N09000003","Belfast","N20000741","Oldpark_G4","N21000167","Oldpark_G"
"N09000003","Belfast","N20000776","Oldpark_Q4","N21000174","Oldpark_Q"
"N09000003","Belfast","N20000757","Oldpark_L3","N21000171","Oldpark_L"
"N09000003","Belfast","N20000763","Oldpark_L5","N21000171","Oldpark_L"
"N09000003","Belfast","N20000751","Oldpark_H3","N21000168","Oldpark_H"
"N09000003","Belfast","N20000749","Oldpark_N2","N21000172","Oldpark_N"
"N09000003","Belfast","N20000761","Oldpark_L4","N21000171","Oldpark_L"
"N09000003","Belfast","N20000770","Oldpark_Q3","N21000174","Oldpark_Q"
"N09000003","Belfast","N20000750","Oldpark_L2","N21000171","Oldpark_L"
"N09000003","Belfast","N20000726","Oldpark_E1","N21000165","Oldpark_E"
"N09000003","Belfast","N20000735","Oldpark_G2","N21000167","Oldpark_G"
"N09000003","Belfast","N20000734","Oldpark_G1","N21000167","Oldpark_G"
"N09000003","Belfast","N20000827","Castle_J5","N21000187","Castle_J"
"N09000003","Belfast","N20000834","Castle_L5","N21000189","Castle_L"
"N09000003","Belfast","N20000732","Oldpark_E3","N21000165","Oldpark_E"
"N09000003","Belfast","N20000716","Oldpark_C1","N21000163","Oldpark_C"
"N09000003","Belfast","N20000727","Oldpark_C4","N21000163","Oldpark_C"
"N09000003","Belfast","N20000722","Oldpark_C2","N21000163","Oldpark_C"
"N09000003","Belfast","N20000767","Oldpark_N4","N21000172","Oldpark_N"
"N09000003","Belfast","N20000755","Oldpark_N3","N21000172","Oldpark_N"
"N09000003","Belfast","N20000740","Oldpark_H1","N21000168","Oldpark_H"
"N09000003","Belfast","N20000733","Oldpark_E4","N21000165","Oldpark_E"
"N09000003","Belfast","N20000723","Oldpark_C3","N21000163","Oldpark_C"
"N09000003","Belfast","N20000717","Oldpark_B2","N21000162","Oldpark_B"
"N09000003","Belfast","N20000809","Castle_G3","N21000185","Castle_G"
"N09000003","Belfast","N20000816","Castle_J4","N21000187","Castle_J"
"N09000003","Belfast","N20000819","Castle_G4","N21000185","Castle_G"
"N09000003","Belfast","N20000820","Castle_G5","N21000185","Castle_G"
"N09000003","Belfast","N20000807","Castle_J1","N21000187","Castle_J"
"N09000003","Belfast","N20000756","Oldpark_K4","N21000170","Oldpark_K"
"N09000003","Belfast","N20000748","Oldpark_H2","N21000168","Oldpark_H"
"N09000003","Belfast","N20000739","Oldpark_E5","N21000165","Oldpark_E"
"N09000003","Belfast","N20000768","Oldpark_P3","N21000173","Oldpark_P"
"N09000003","Belfast","N20000762","Oldpark_P2","N21000173","Oldpark_P"
"N09000003","Belfast","N20000742","Oldpark_K2","N21000170","Oldpark_K"
"N09000003","Belfast","N20000737","Oldpark_K1","N21000170","Oldpark_K"
"N09000003","Belfast","N20001374","Court_B1","N21000317","Court_B"
"N09000003","Belfast","N20001371","Court_A2","N21000316","Court_A"
"N09000003","Belfast","N20000744","Oldpark_J2","N21000169","Oldpark_J"
"N09000003","Belfast","N20000743","Oldpark_J1","N21000169","Oldpark_J"
"N09000003","Belfast","N20000758","Oldpark_Q1","N21000174","Oldpark_Q"
"N09000003","Belfast","N20000752","Oldpark_J3","N21000169","Oldpark_J"
"N09000003","Belfast","N20000753","Oldpark_K3","N21000170","Oldpark_K"
"N09000003","Belfast","N20000760","Oldpark_P1","N21000173","Oldpark_P"
"N09000003","Belfast","N20000730","Oldpark_F2","N21000166","Oldpark_F"
"N09000003","Belfast","N20000729","Oldpark_E2","N21000165","Oldpark_E"
"N09000003","Belfast","N20000736","Oldpark_F3","N21000166","Oldpark_F"
"N09000003","Belfast","N20000728","Oldpark_F1","N21000166","Oldpark_F"
"N09000003","Belfast","N20000725","Oldpark_D3","N21000164","Oldpark_D"
"N09000003","Belfast","N20000731","Oldpark_D4","N21000164","Oldpark_D"
"N09000003","Belfast","N20000713","Oldpark_A3","N21000161","Oldpark_A"
"N09000003","Belfast","N20000715","Oldpark_D1","N21000164","Oldpark_D"
"N09000003","Belfast","N20000714","Oldpark_B1","N21000162","Oldpark_B"
"N09000003","Belfast","N20000719","Oldpark_A4","N21000161","Oldpark_A"
"N09000003","Belfast","N20000724","Oldpark_D2","N21000164","Oldpark_D"
"N09000003","Belfast","N20000712","Oldpark_A2","N21000161","Oldpark_A"
"N09000003","Belfast","N20000721","Oldpark_A5","N21000161","Oldpark_A"
"N09000003","Belfast","N20000720","Oldpark_B4","N21000162","Oldpark_B"
"N09000003","Belfast","N20000718","Oldpark_B3","N21000162","Oldpark_B"
"N09000003","Belfast","N20000805","Castle_G1","N21000185","Castle_G"
"N09000003","Belfast","N20000796","Castle_D1","N21000182","Castle_D"
"N09000003","Belfast","N20000806","Castle_G2","N21000185","Castle_G"
"N09000003","Belfast","N20000711","Oldpark_A1","N21000161","Oldpark_A"
"N09000001","Antrim and Newtownabbey","N20000285","Airport_G4","N21000065","Airport_G"
"N09000001","Antrim and Newtownabbey","N20000278","Airport_C4","N21000061","Airport_C"
"N09000003","Belfast","N20001278","Collin_L3","N21000296","Collin_L"
"N09000003","Belfast","N20000781","Oldpark_T3","N21000177","Oldpark_T"
"N09000003","Belfast","N20000853","Castle_T5","N21000195","Castle_T"
"N09000003","Belfast","N20000852","Castle_U5","N21000196","Castle_U"
"N09000003","Belfast","N20000773","Oldpark_T1","N21000177","Oldpark_T"
"N09000003","Belfast","N20000848","Castle_U2","N21000196","Castle_U"
"N09000003","Belfast","N20000771","Oldpark_S1","N21000176","Oldpark_S"
"N09000003","Belfast","N20000777","Oldpark_S2","N21000176","Oldpark_S"
"N09000003","Belfast","N20000779","Oldpark_T2","N21000177","Oldpark_T"
"N09000003","Belfast","N20000778","Oldpark_S3","N21000176","Oldpark_S"
