PC5,ACTIVE,X,Y,LGD2014,LGD2014NAME,WARD2014,WARD2014NAME,DEA2014,DEA2014NAME,AA2008,AA2008NAME,WARD1992,WARD1992NAME,LGD1992,LGD1992NAME,HSCT,HSCTNAME,DZ2021,DZ2021_name,SDZ2021,SDZ2021_name,AA2024,AA2024NAME,SA2011,SOA2001,SOA2001NAME,SOA2001_OLD,SOA2001NAME_OLD,COA2001,SETTLEMENT15,SETTLEMENT15_URBAN_RURAL
BT204YP,0,351501,380684,N09000011,Ards and North Down,N08001111,Castle (North Down and Ards),N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX05,BANGOR CASTLE,95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003650,Bangor_Central_J1,N21000823,Bangor_Central_J,N05000013,North Down,N00004153,95XX05W1,Bangor Castle,95XX05W1,Bangor Castle,95XX050006,BANGOR,URBAN
BT205AA,0,350516,381760,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003632,Bangor_Central_C2,N21000817,Bangor_Central_C,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AB,0,350513,381751,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003632,Bangor_Central_C2,N21000817,Bangor_Central_C,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AD,0,350560,381900,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AE,1,350513,381731,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003632,Bangor_Central_C2,N21000817,Bangor_Central_C,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AF,1,350552,381782,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AG,1,350517,381847,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003632,Bangor_Central_C2,N21000817,Bangor_Central_C,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AH,0,350560,381900,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AJ,0,350709,381976,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003631,Bangor_Central_F1,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AL,0,999999,999999,000000000,NA,000000000,NA,000000000,NA,000000000,NA,000000,NA,0000,NA,N/A,N/A,000000000,NA,000000000,NA,000000000,NA,000000000,00000000,NA,00000000,NA,0000000000,0000000000000000000000000000000,00000
BT205AN,1,350565,381933,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AP,1,350561,381691,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AQ,1,350516,381783,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003632,Bangor_Central_C2,N21000817,Bangor_Central_C,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AR,0,350510,381858,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003632,Bangor_Central_C2,N21000817,Bangor_Central_C,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170011,BANGOR,URBAN
BT205AS,0,350560,381900,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AT,0,350560,381900,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
BT205AU,1,350564,381885,N09000011,Ards and North Down,N08001123,Harbour,N10001102,BANGOR CENTRAL,N06000013,NORTH DOWN,95XX17,HARBOUR (NORTH DOWN),95XX,NORTH DOWN,SEHSCT,South Eastern HSCT,N20003636,Bangor_Central_F3,N21000820,Bangor_Central_F,N05000013,North Down,N00004264,95XX17S1,Harbour_1,95XX17S1,Harbour_1,95XX170008,BANGOR,URBAN
